UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
MR1_MR9004_1,MR9004,1022.912,5043.611,195.606,11:29,,,,,1.543,"027° 42' 56""","093° 18' 45""",49.346,49.263,0,4.394
MR1_MR9004_2,MR9004,1022.912,5043.611,195.608,11:29,,,,,1.543,"207° 42' 58""","266° 41' 23""",49.346,49.264,0,4.392
MR1_MR9005_1,MR9005,1017.225,5026.364,196.706,11:29,,,,,1.543,"213° 09' 33""","266° 49' 05""",31.541,31.492,0,3.294
MR1_MR9005_2,MR9005,1017.225,5026.363,196.705,11:29,,,,,1.543,"033° 09' 35""","093° 11' 03""",31.541,31.492,0,3.295
MR1_MR9006_1,MR9006,1010.319,5007.530,197.789,11:30,,,,,1.543,"053° 52' 55""","092° 59' 43""",12.792,12.774,0,2.211
MR1_MR9006_2,MR9006,1010.319,5007.530,197.789,11:30,,,,,1.543,"233° 52' 55""","267° 00' 18""",12.792,12.774,0,2.211
MR1_MR9007_1,MR9007,1003.515,4988.401,199.250,11:30,,,,,1.543,"343° 08' 28""","273° 44' 34""",12.146,12.120,0,0.750
MR1_MR9007_2,MR9007,1003.515,4988.401,199.249,11:30,,,,,1.543,"163° 08' 25""","086° 15' 33""",12.146,12.120,0,0.751
MR1_MR9008_1,MR9008,995.752,4968.730,200.334,11:30,,,,,1.543,"187° 44' 12""","086° 35' 49""",31.613,31.558,0,0.334
MR1_MR9008_2,MR9008,995.752,4968.730,200.336,11:31,,,,,1.543,"007° 44' 08""","273° 24' 23""",31.613,31.558,0,0.336
MR1_MR9009_1,MR9009,987.167,4950.758,200.507,11:31,,,,,1.543,"014° 36' 27""","272° 18' 24""",50.928,50.886,0,0.507
MR1_MR9009_2,MR9009,987.167,4950.759,200.503,11:31,,,,,1.543,"194° 36' 28""","087° 41' 54""",50.927,50.886,0,0.503
MR1_MR9010_1,MR9010,978.595,4933.081,200.770,11:31,,,,,1.543,"197° 44' 15""","088° 06' 54""",70.297,70.259,0,0.770
MR1_MR9010_2,MR9010,978.595,4933.081,200.775,11:32,,,,,1.543,"017° 44' 15""","271° 53' 22""",70.297,70.259,0,0.775
MR1_MR9011_1,MR9011,969.559,4914.684,200.892,11:32,,,,,1.543,"019° 38' 12""","271° 32' 23""",90.617,90.584,0,0.892
MR1_MR9011_2,MR9011,969.557,4914.685,200.884,11:32,,,,,1.543,"199° 38' 16""","088° 27' 56""",90.617,90.584,0,0.884
MR1_MR9012_1,MR9012,960.736,4895.971,201.028,11:33,,,,,1.543,"200° 40' 41""","088° 40' 34""",111.222,111.192,0,1.028
MR1_MR9012_2,MR9012,960.735,4895.971,201.036,11:33,,,,,1.543,"020° 40' 43""","271° 19' 41""",111.222,111.192,0,1.036
MR1_MR9012_3,MR9012,960.736,4895.971,201.041,11:33,,,,,1.543,"020° 40' 42""","271° 19' 51""",111.222,111.192,0,1.041
MR1_MR9012_4,MR9012,960.735,4895.972,201.027,11:33,,,,,1.543,"200° 40' 44""","088° 40' 34""",111.222,111.192,0,1.027
,MR2,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
MR2_2_1,2,,,,11:40,,,,,0.000,"000° 00' 00""","088° 13' 22""",,,0,
