UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
STN01_FOCSTN03_1,FOCSTN03,9995.387,5002.557,200.109,10:41,,,,,0.000,"147° 32' 52""","089° 57' 42""",141.802,141.802,23,0.097
STN01_FOCSTN03_2,FOCSTN03,9995.390,5002.558,200.103,10:41,,,,,0.000,"327° 32' 47""","270° 02' 09""",141.803,141.803,23,0.090
STN01_MR9001_1,MR9001,9820.950,5174.308,193.249,10:42,,,,,1.543,"117° 54' 34""","267° 18' 50""",111.413,111.291,0,6.763
STN01_MR9001_2,MR9001,9820.951,5174.309,193.250,10:42,,,,,1.543,"297° 54' 38""","092° 41' 08""",111.413,111.291,0,6.762
STN01_MR9001_3,MR9001,9820.951,5174.310,193.248,10:42,,,,,1.543,"297° 54' 38""","092° 41' 12""",111.413,111.291,0,6.765
STN01_MR9001_4,MR9001,9820.950,5174.307,193.250,10:43,,,,,1.543,"117° 54' 34""","267° 18' 51""",111.413,111.291,0,6.763
STN01_MR9002_1,MR9002,9839.091,5169.797,192.948,10:43,,,,,1.543,"120° 40' 42""","266° 36' 40""",93.421,93.257,0,7.065
STN01_MR9002_2,MR9002,9839.092,5169.797,192.948,10:43,,,,,1.543,"300° 40' 43""","093° 23' 20""",93.421,93.257,0,7.065
STN01_MR9003_1,MR9003,9858.232,5162.577,193.593,10:44,,,,,1.543,"303° 27' 47""","093° 48' 44""",73.360,73.198,0,6.420
STN01_MR9003_2,MR9003,9858.231,5162.577,193.593,10:44,,,,,1.543,"123° 27' 47""","266° 11' 18""",73.361,73.198,0,6.419
STN01_MR9004_1,MR9004,9876.595,5154.850,195.284,10:44,,,,,1.543,"127° 23' 19""","266° 36' 28""",53.839,53.744,0,4.729
STN01_MR9004_2,MR9004,9876.595,5154.850,195.284,10:44,,,,,1.543,"307° 23' 20""","093° 23' 32""",53.839,53.744,0,4.728
STN01_MR9005_1,MR9005,9892.624,5146.296,196.382,10:45,,,,,1.543,"312° 04' 38""","093° 19' 33""",35.996,35.935,0,3.631
STN01_MR9005_2,MR9005,9892.624,5146.296,196.380,10:45,,,,,1.543,"132° 04' 38""","266° 40' 20""",35.996,35.935,0,3.632
STN01_MR9006_1,MR9006,9909.999,5136.280,197.470,10:45,,,,,1.543,"146° 31' 52""","266° 36' 26""",16.890,16.860,0,2.543
STN01_MR9006_2,MR9006,9909.999,5136.280,197.471,10:46,,,,,1.543,"326° 31' 55""","093° 23' 26""",16.890,16.860,0,2.542
STN01_MR9007_1,MR9007,9927.686,5126.307,198.922,10:46,,,,,1.543,"063° 59' 53""","087° 13' 32""",9.345,9.334,0,1.091
STN01_MR9007_2,MR9007,9927.687,5126.308,198.922,10:47,,,,,1.543,"243° 59' 53""","272° 46' 18""",9.346,9.335,0,1.091
STN01_MR9008_1,MR9008,9945.740,5115.301,200.004,10:47,,,,,1.543,"284° 39' 14""","273° 12' 49""",27.376,27.333,0,0.008
STN01_MR9008_2,MR9008,9945.740,5115.301,200.005,10:47,,,,,1.543,"104° 39' 13""","086° 47' 07""",27.376,27.333,0,0.008
STN01_MR9009_1,MR9009,9961.979,5103.763,200.183,10:48,,,,,1.543,"113° 22' 45""","087° 53' 23""",46.532,46.500,0,0.171
STN01_MR9009_2,MR9009,9961.979,5103.763,200.183,10:48,,,,,1.543,"293° 22' 45""","272° 06' 35""",46.532,46.500,0,0.170
STN01_MR9010_1,MR9010,9977.923,5092.300,200.443,10:48,,,,,1.543,"297° 02' 01""","271° 43' 02""",65.847,65.818,0,0.431
STN01_MR9010_2,MR9010,9977.923,5092.299,200.442,10:48,,,,,1.543,"117° 02' 03""","088° 17' 03""",65.847,65.818,0,0.429
STN01_MR9011_1,MR9011,9994.520,5080.258,200.574,10:49,,,,,1.543,"119° 09' 06""","088° 36' 03""",86.159,86.133,0,0.561
STN01_MR9011_2,MR9011,9994.520,5080.259,200.576,10:49,,,,,1.543,"299° 09' 03""","271° 24' 02""",86.159,86.133,0,0.563
STN01_MR9012_1,MR9012,10011.450,5068.369,200.705,10:49,,,,,1.543,"300° 17' 54""","271° 11' 58""",106.755,106.732,0,0.692
STN01_MR9012_2,MR9012,10011.449,5068.368,200.703,10:49,,,,,1.543,"120° 17' 57""","088° 48' 07""",106.755,106.731,0,0.690
STN01_MR9012_3,MR9012,10011.449,5068.368,200.702,10:50,,,,,1.543,"120° 17' 56""","088° 48' 09""",106.755,106.732,0,0.689
STN01_MR9012_4,MR9012,10011.450,5068.370,200.709,10:50,,,,,1.543,"300° 17' 52""","271° 12' 05""",106.755,106.731,0,0.696
,FOCSTN03,,,,,9995.387,5002.556,0.000,200.106,,,,,,,
FOCSTN03_STN01_1,STN01,9919.297,5122.215,199.994,10:56,,,,,0.000,"327° 32' 53""","090° 02' 46""",141.802,141.802,23,0.113
FOCSTN03_STN01_2,STN01,9919.294,5122.214,200.000,10:56,,,,,0.000,"147° 32' 49""","269° 57' 23""",141.802,141.802,23,0.106
FOCSTN03_STN02_1,STN02,10089.152,5007.532,201.373,10:56,,,,,0.000,"266° 57' 46""","270° 46' 21""",93.906,93.897,0,1.267
FOCSTN03_STN02_2,STN02,10089.152,5007.531,201.375,10:56,,,,,0.000,"086° 57' 47""","089° 13' 35""",93.906,93.898,0,1.268
,STN02,,,,,10089.152,5007.531,0.000,201.375,,,,,,,
STN02_FOCSTN03_1,FOCSTN03,9995.387,5002.557,200.101,11:00,,,,,0.000,"266° 57' 47""","090° 46' 39""",93.906,93.897,23,1.274
STN02_FOCSTN03_2,FOCSTN03,9995.387,5002.556,200.101,11:00,,,,,0.000,"086° 57' 45""","269° 13' 19""",93.906,93.897,23,1.274
STN02_MR9012_1,MR9012,10011.449,5068.369,200.690,11:01,,,,,1.543,"308° 03' 33""","089° 30' 08""",98.690,98.687,0,0.685
STN02_MR9012_2,MR9012,10011.451,5068.372,200.691,11:01,,,,,1.543,"128° 03' 40""","270° 29' 54""",98.690,98.686,0,0.684
STN02_MR9012_3,MR9012,10011.449,5068.369,200.691,11:01,,,,,1.543,"128° 03' 34""","270° 29' 55""",98.690,98.687,0,0.684
STN02_MR9012_4,MR9012,10011.450,5068.371,200.690,11:02,,,,,1.543,"308° 03' 37""","089° 30' 09""",98.691,98.687,0,0.685
STN02_MR9013_1,MR9013,10027.143,5058.021,201.077,11:02,,,,,1.543,"309° 09' 12""","089° 06' 30""",79.974,79.965,0,0.298
STN02_MR9013_2,MR9013,10027.144,5058.022,201.076,11:02,,,,,1.543,"129° 09' 15""","270° 53' 27""",79.974,79.965,0,0.299
STN02_MR9014_1,MR9014,10044.197,5045.179,201.187,11:03,,,,,1.543,"309° 56' 38""","088° 40' 36""",58.653,58.637,0,0.188
STN02_MR9014_2,MR9014,10044.198,5045.180,201.189,11:03,,,,,1.543,"129° 56' 43""","271° 19' 31""",58.653,58.637,0,0.186
STN02_MR9015_1,MR9015,10059.034,5035.296,201.010,11:03,,,,,1.543,"132° 40' 18""","271° 38' 52""",40.981,40.964,0,0.365
STN02_MR9015_2,MR9015,10059.034,5035.297,201.011,11:04,,,,,1.543,"312° 40' 22""","088° 21' 04""",40.981,40.964,0,0.364
STN02_MR9016_1,MR9016,10076.936,5023.723,200.623,11:04,,,,,1.543,"322° 57' 53""","087° 46' 03""",20.299,20.283,0,0.752
STN02_MR9016_2,MR9016,10076.936,5023.723,200.623,11:04,,,,,1.543,"142° 57' 53""","272° 13' 55""",20.299,20.283,0,0.752
STN02_MR9017_1,MR9017,10092.966,5015.250,200.318,11:05,,,,,1.543,"206° 17' 32""","273° 13' 41""",8.623,8.609,0,1.057
