UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
STN742_UT74690_2,UT74690,287601.243,6215348.105,130.527,10:01,,,,,0.000,"301° 22' 33""","278° 24' 29""",33.839,33.475,8,4.948
STN742_UT74700_1,UT74700,287591.852,6215349.830,130.352,09:58,,,,,0.000,"129° 17' 42""","079° 06' 14""",25.251,24.796,8,4.773
STN742_UT74700_2,UT74700,287591.853,6215349.829,130.350,10:01,,,,,0.000,"309° 17' 45""","280° 53' 28""",25.252,24.797,8,4.771
STN742_UT74710_1,UT74710,287580.701,6215352.037,130.288,09:58,,,,,0.000,"149° 13' 25""","073° 18' 52""",16.400,15.709,8,4.709
STN742_UT74710_2,UT74710,287580.694,6215352.034,130.288,10:01,,,,,0.000,"329° 15' 00""","286° 41' 10""",16.399,15.709,8,4.709
STN742_UT74720_1,UT74720,287571.419,6215353.990,130.065,09:58,,,,,0.000,"186° 08' 53""","068° 52' 23""",12.447,11.611,8,4.486
STN742_UT74720_2,UT74720,287571.420,6215353.990,130.065,10:01,,,,,0.000,"006° 08' 46""","291° 07' 26""",12.447,11.611,8,4.486
STN742_UT74730_1,UT74730,287561.017,6215355.053,130.150,09:58,,,,,0.000,"228° 00' 51""","073° 44' 11""",16.321,15.668,8,4.571
STN742_UT74730_2,UT74730,287561.017,6215355.053,130.149,10:02,,,,,0.000,"048° 00' 47""","286° 15' 41""",16.321,15.668,8,4.570
STN742_UT74740_1,UT74740,287550.252,6215356.200,130.070,09:57,,,,,0.000,"247° 23' 20""","079° 31' 13""",24.688,24.276,8,4.491
STN742_UT74740_2,UT74740,287550.252,6215356.200,130.069,10:02,,,,,0.000,"067° 23' 16""","280° 28' 39""",24.689,24.277,8,4.490
STN742_UT74750_1,UT74750,287541.380,6215357.158,129.936,09:57,,,,,0.000,"255° 00' 40""","082° 20' 14""",32.677,32.385,8,4.357
STN742_UT74750_2,UT74750,287541.380,6215357.158,129.935,10:02,,,,,0.000,"075° 00' 37""","277° 39' 36""",32.677,32.385,8,4.356
STN742_UT74760_1,UT74760,287530.449,6215358.203,129.659,09:57,,,,,0.000,"260° 08' 55""","084° 33' 36""",43.040,42.846,8,4.080
STN742_UT74760_2,UT74760,287530.448,6215358.203,129.658,10:02,,,,,0.000,"080° 08' 53""","275° 26' 16""",43.040,42.846,8,4.079
STN742_UT74770_1,UT74770,287520.254,6215358.409,129.427,09:57,,,,,0.000,"262° 15' 29""","085° 50' 19""",53.031,52.891,8,3.848
STN742_UT74770_2,UT74770,287520.254,6215358.409,129.425,10:03,,,,,0.000,"082° 15' 27""","274° 09' 31""",53.030,52.891,8,3.846
STN742_UT74780_1,UT74780,287509.962,6215358.589,129.337,09:56,,,,,0.000,"263° 40' 45""","086° 35' 29""",63.196,63.084,8,3.758
STN742_UT74780_2,UT74780,287509.962,6215358.588,129.334,10:03,,,,,0.000,"083° 40' 44""","273° 24' 22""",63.196,63.084,8,3.755
STN742_UT74790_1,UT74790,287499.634,6215358.162,129.333,09:56,,,,,0.000,"264° 14' 11""","087° 04' 19""",73.495,73.400,34,3.754
STN742_UT74790_2,UT74790,287499.634,6215358.163,129.331,10:03,,,,,0.000,"084° 14' 11""","272° 55' 34""",73.495,73.400,34,3.752
STN742_XU74640_1,XU74640,287650.604,6215337.762,130.332,09:59,,,,,0.000,"109° 36' 43""","086° 42' 47""",82.878,82.742,8,4.753
STN742_XU74640_2,XU74640,287650.604,6215337.762,130.329,10:00,,,,,0.000,"289° 36' 44""","273° 17' 07""",82.878,82.741,8,4.750
STN742_XU74700_1,XU74700,287590.609,6215350.274,129.562,09:58,,,,,0.000,"130° 22' 33""","080° 24' 16""",23.892,23.557,8,3.983
STN742_XU74700_2,XU74700,287590.609,6215350.273,129.560,10:01,,,,,0.000,"310° 22' 33""","279° 35' 34""",23.892,23.558,8,3.981
STN742_XU74730_1,XU74730,287561.549,6215355.625,129.170,09:58,,,,,0.000,"228° 16' 49""","076° 26' 30""",15.317,14.890,8,3.591
STN742_XU74730_2,XU74730,287561.549,6215355.625,129.169,10:01,,,,,0.000,"048° 16' 46""","283° 33' 22""",15.317,14.890,8,3.590
